id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_per_night,minimum_nights,annual_availability
16426122,Classic Barcelona apartment with cozy balcony,75383908,Eixample,Sant Antoni,41.37995577,2.159383569,Entire home/apt,152,4,138
16431701,Elegant apartment next to Paseo de Gracia,14871323,Eixample,la Dreta de l'Eixample,41.39271401,2.166761188,Entire home/apt,125,31,202
16431898,Paseo de Gracia Luxury Apartment,23226762,Eixample,la Dreta de l'Eixample,41.39388623,2.163052238,Entire home/apt,76,31,365
16432228,Exclusive Apartment Barcelona,23226762,Eixample,la Dreta de l'Eixample,41.3923016,2.161383743,Entire home/apt,60,31,355
16433084,"RenovAted, cosy and quiet internal room Eixample",49096561,Eixample,la Nova Esquerra de l'Eixample,41.3797249,2.151064167,Private room,38,3,41
16434117,Habitación cochombrosa en barrio de mierda,40935235,Horta-Guinardó,Sant Genís dels Agudells,41.4250027,2.139247266,Private room,100,1,0
16437001,Double room with exclusive private bathroom,107777201,Sant Martí,el Clot,41.40914062,2.193843106,Private room,39,4,61
16437101,Charming apartment in Gothic Quartier,3376710,Ciutat Vella,el Barri Gòtic,41.3825894,2.176985861,Entire home/apt,50,32,365
16438905,STYLISH ROOM WITH LARGE BALCONY,11561418,Eixample,la Nova Esquerra de l'Eixample,41.38156052,2.148531951,Private room,92,1,365
16448315,Private Suite Ramblas,107885671,Ciutat Vella,el Raval,41.37554167,2.17197143,Private room,70,1,274
16448983,Habitacion Grande en el barrio gotico,107893024,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38362523,2.182858642,Private room,38,3,90
16449540,The Sagrada Familia Apartment,98330509,Eixample,la Sagrada Família,41.40083827,2.172853291,Entire home/apt,170,2,345
16449601,Bright Urban Loft in Sagrada Familia!,98330509,Eixample,la Sagrada Família,41.40293729,2.173818032,Entire home/apt,150,2,339
16453250,Habitación en PLAZA ESPAÑA.,44871936,Sants-Montjuïc,Hostafrancs,41.37442385,2.141840756,Private room,14,31,130
16453698,Small room with double bed in Eixample,107930549,Gràcia,la Vila de Gràcia,41.40034247,2.164290068,Private room,18,1,184
16459535,Un piso elegante y amplio para descubrir Barcelona,10287576,Eixample,la Dreta de l'Eixample,41.39924367,2.17108369,Entire home/apt,160,3,15
16462603,"Elegant, bright, central, close to Sagrada Familia",5878688,Eixample,la Dreta de l'Eixample,41.39839956,2.16976004,Entire home/apt,150,2,349
16463107,Old District - Charming Apartment,3376710,Ciutat Vella,el Barri Gòtic,41.38277213,2.176318059,Private room,50,32,365
16463167,"Elegant, bright, balcony, close to Sagrada Familia",5878688,Eixample,la Dreta de l'Eixample,41.39806293,2.169935257,Entire home/apt,150,2,344
16464240,sf32 NEW 2 BDR FLAT SAGRADA FAMILIA,1447144,Eixample,la Sagrada Família,41.40209536,2.172631495,Entire home/apt,90,2,365
16464590,Charming Apartment in Born,64442948,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38573034,2.182780636,Entire home/apt,40,32,19
16465693,City center Double room,104173257,Ciutat Vella,el Barri Gòtic,41.3791168,2.17900478,Private room,49,2,154
16472592,"Bright, elegant, balcony, close to Sagrada Familia",5878688,Eixample,la Dreta de l'Eixample,41.3984422,2.171287088,Entire home/apt,150,2,331
16474452,Bright and elegant apartment in Plaza Molina,47171261,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40121065,2.148688641,Entire home/apt,65,90,98
